,Câu hỏi,A,B,C,D,Câu trả lời đúng
56,BU nào đã đạt giải BU xuất sắc nhất chung cuộc trong cuộc thi Sport Fest 2025 ?,Promer,ManySales,OneExpert,Compass,A
57,Áo đồng phục đỏ mang thương hiệu đặc trưng của FireGroup – lần đầu tiên xuất hiện chính thức trong dịp nào? ,Sinh nhật công ty 11.11.2022,Sinh nhật công ty 11.11.2023,Year End Party 2022, Year End Party 2023,A
58,"Sản phẩm Zopi hiện nay, trước đây được ra mắt vào năm nào và từng có tên gọi khác là gì?",2017 – Ali Orders,2017 – AliHunter,2018 – Ali Orders,2018 – AliHunter,C
59,Địa chỉ Văn phòng Đà Nẵng của FireGroup nằm trong tòa nhà nào?,Đà Nẵng Software Park,Indochina Riverside Tower,Tòa nhà Green Plaza,Tòa nhà APEC,A
60,Đường dẫn chính xác để truy cập bản tin nội bộ FireGroup là gì?,https://culture.firegroup.io/,https://firegroup.io/,https://firegroup.io/culture/,https://culture.firegroup.io/news,D
61,FireGroup đã nhận chứng nhận Great Place To Work (GPTW) liên tiếp trong bao nhiêu năm?,2,3,4,5,A
62,62.webp,2,3,4,5,C
63,Tỷ lệ Firer phản hồi tích cực toàn bộ các yếu tố trong khảo sát GPTW của FireGroup năm 2025 là bao nhiêu?,75%,77%,79%,80%,C
64,Giải pháp nào của FireGroup hiện đã có mặt trên nền tảng TikTok Shop? ,Zopi,OneMobile,TrueProfit,Promer,C
65,Sản phẩm nào của Promer đạt thành tích ấn tượng Built for Shopify và xuất hiện trong In the Spotlight tại Châu Mỹ và Châu Âu?,Promer AI: Store Audit & SEO,Promer: SEO AI Blog Post,Promer AI Ads Creative Creator,Promer AI: Product Description,C
66,Hiện có bao nhiêu thương hiệu toàn cầu đang tin dùng ứng dụng Transcy của FireGroup?,Hơn 25.000 thương hiệu,Hơn 100.000 thương hiệu,Hơn 250.000 thương hiệu,Hơn 500.000 thương hiệu,C
67,Kỳ Lân sắt chính thức xuất hiện tại FireGroup vào năm nào?,2020,2021,2022,2023,C
68,MRR cao nhất mà OneMobile từng đạt được tính tới thời điểm hiện tại là bao nhiêu?,$36k,$42k,$48k,$54k,B
69,Gói cao cấp nhất của OneMobile với mức phí $990/tháng có tên gọi là gì?,Starter,ScaleUp,BrandUp,Omni,D
70,"""Ăn trông nồi, ngồi trông (...)""",điện thoại,hướng,mâm,bát,B
71,"""Ăn quả nhớ kẻ trồng (...)""",rau,nhà,cây,người,C
72,"Trên nền tảng FireSoul, Firer level từ leader trở lên có thể ghi nhận tối đa bao nhiêu người/ngày?",1,2,5,10,D
73,FireGroup đã vinh dự nhận giải thưởng Fast Enterprise Award tại lễ trao giải APEA (Asia Pacific Enterprise Awards) năm nào?,2022,2023,2024,2025,B
74,FireGroup nhận giải thưởng Vietnam Top 10 Digital Technology Companies Award 2 năm liên tiếp nào dưới đây?,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024,C
75,75.webp,Mũi tên/ hoa sen,Ngọn nến/ hoa sen,Ngọn lửa/ hoa sen,Ngọn lửa/ kim cương,C
76,"Món ""Bánh mì"" nổi tiếng của Việt Nam thực chất là sự kết hợp ẩm thực từ quốc gia nào?",Thái Lan,Nhật Bản,Pháp,Ấn Độ,C
77,"Món ""Phá Lấu"" ở miền Nam được chế biến từ bộ phận nào của động vật?",Thịt đùi,Xương ống,"Nội tạng (lòng, tai, lưỡi...)",Da,C
78,Màu sắc chủ đạo của FireGroup là sự kết hợp giữa,Vàng và xanh dương,Đỏ và Xanh dương,Đỏ và Vàng,Xanh dương và xanh lá,B
79,Người dùng có thể quản lý nhiều cửa hàng trên Shopify cùng lúc bằng tính năng nào của TrueProfit?,Multi-Dashboard,All-store View,Store Connector,Profit Tracker,B
80,80.webp,Teamwork,Growth,Empathy,Trust,C
81,Tính năng Compass AI trong TrueProfit được thiết kế để làm gì?,"Hỗ trợ người dùng theo dõi và tối ưu lợi nhuận bằng cách cung cấp hướng dẫn, phân tích và biểu đồ tùy chỉnh trực tiếp trong ứng dụng.",Tự động điều chỉnh giá sản phẩm theo hiệu suất quảng cáo của cửa hàng.,Gửi báo cáo doanh thu hàng tuần qua email cho chủ cửa hàng mà không cần truy cập ứng dụng.,Tạo chiến dịch quảng cáo mới dựa trên dữ liệu doanh thu và lợi nhuận.,A
82,Văn phòng FireGroup hiện tại có bao nhiêu phòng họp ( bao gồm cả Phone booth),9,10,11,12,C
83,Transcy hỗ trợ thanh toán đa tiền tệ như thế nào trên cửa hàng Shopify?,"Hỗ trợ thanh toán đa tiền tệ trên các trang: Trang sản phẩm, Trang chủ, Giỏ hàng, và Thanh toán",Chỉ hỗ trợ thanh toán đa tiền tệ trên trang thanh toán cho merchants sử dụng Shopify Payments và đã thêm các loại tiền tệ mục tiêu.,Hỗ trợ thanh toán đa tiền tệ cho khách hàng quốc tế mà không cần Shopify Payments,Tự động chuyển đổi tiền tệ trên mọi trang nhưng không ảnh hưởng đến thanh toán,B
84,Công ty chi quỹ Team bonding cho các hoạt động thường ( ăn uống vui chơi ngoài công ty) với hạn mức là bao nhiêu? ,"100,000/ tháng","200,000/ tháng","300,000/ tháng","400,000/ tháng",A
85,Sản phẩm nào của FireGroup chuyên về chuyển đổi ngôn ngữ & tiền tệ để hỗ trợ bán hàng quốc tế?,AliReviews,Transcy,TrueProfit,Zopi,B
86,"Một app tăng user 1% mỗi ngày, liên tục 60 ngày.
Hỏi sau 60 ngày, user tăng xấp xỉ bao nhiêu so với ban đầu?",62%,72%,82%,92%,C
87,"Doanh thu sản phẩm tăng 5% mỗi ngày, liên tục 7 ngày.
Hỏi sau 1 tuần, tổng doanh thu tăng khoảng bao nhiêu % so với ngày đầu?",30%,35%,40%,45%,C
88,Chủ đề Townhall Quý 3.2025 là?,Stories Behind Shopify Dev.2025,OUR FIRER MAKES US GREAT,Transform the way we work,Speed Up with AI,C
89,COMPANY TRIP 2025 được tổ chức tại đâu?,Đà Nẵng,Nha Trang,Phan Thiết,Vũng Tàu,B
90,"Tháng 05.2025, FireGroup đã tham gia sự kiện Shopify Event for Builder tại địa điểm nào?","Hà Nội, Việt Nam","Toronto, Canada","London, UK","Jakarta, Indonesia",B
91,Chủ đề Townhall Quý 2.2025 là?,Stories Behind Shopify Dev.2025,OUR FIRER MAKES US GREAT,Transform the way we work,Speed Up with AI,D
92,Culture Star quý 3.2025 là Firer nào?,Trần Hữu Danh - Compass,Nguyễn Mai Thi - OneExperts,Nguyễn Lê Hoàng - Promer,Phạm Hoàng Phúc - Operations,A
93,Sport Festival 2025 không gồm bộ môn nào?,Caro,Cầu lông,Bi lắc,Đá banh,A
94,94.webp,64,100,170,216,A
95,BU đạt giải nhất trong bộ môn Bi lắc tại Sport Fest 2025 là?,Promer,Compass,OneExpert,ManySales,D
96,"Theo diễn giải core value Owership - Own your work,
Từ điển FireGroup định nghĩa:
Tinh thần làm chủ = ?",Cống hiến,Sẵn sàng,Dấn thân,Chủ động,C
97,"Theo diễn giải core value Team Work, Từ điển FireGroup định nghĩa:
Teamwork = ?",Cộng hưởng sức mạnh,Hỗ trợ lẫn nhau,Chia sẻ thông tin,Chịu trách nhiệm chung,A
98,Câu này dưới đây là một trong những hành vi mô tả core value Empathy:  ,Chấp nhận việc bạn làm có thể không mang lại thành công và sẵn sàng đối mặt với kết quả để cải tiến nó,"Tôn trọng sự khác biệt của mỗi người trong cách suy nghĩ, tư duy, cách nói & cách thức hành động",Tự chủ và chịu trách nhiệm trong công việc và kết quả mang lại,Cả 3 đáp án đều sai,B
99,"Không ngần ngại thử thách bản thân bằng những mục tiêu cao hơn"" là biểu hiện của Core Value nào?",Courage,Trust,Creativity,Teamwork,A
100,"Theo định nghĩa về core value Trust tại FireGroup, công thức để xây dựng niềm tin là gì?",Trở thành đồng đội đáng tin + Trao đi niềm tin,Tin tưởng tuyệt đối + Làm việc độc lập hiệu quả,Luôn hoàn thành đúng deadline + Không để xảy ra sai sót,Hợp tác hiệu quả + Giữ lời hứa,A
101,"""Cố gắng làm điều tốt nhất cho tập thể, đôi khi việc đó nghĩa là tạm quên đi quy trình để tập trung vào mục tiêu chung"" là biểu hiện rõ nét nhất của core value nào?",Courage,Empathy,Creativity,Ownership,D
102,"At present, in which month are the Nobel Prizes announced each year?",September,October,November,December,B
103,"2024 was a leap year, When is the next leap year?",2028,2030,2032,2034,A
104,Which is the only Southeast Asian country whose national flag includes the color green?,Myanmar,Laos,Thailand,Malaysia,A
105,Which 2-digit number divisible by 4 lies between 50 and 55?,50,52,54,56,B
106,Which country has the deepest lake in the world?,Russia,China,India,Australia,A
107,Which color of visible light has the longest wavelength?,Red,White,Bue,Yellow,A
108,Which country has the highest GDP per capita in Southeast Asia?,Thái Lan,Singapore,HongKong,Vietnam,B
109,Who founded Shopify?,Elon Musk,Tobias Lütke ,Jeff Bezos,Mark Zuckerberg,B
110,Shopify POS stands for,Point of Sale,Product on Shopify,Payment on Site,Price of Stock,A
111,What does e-commerce stand for?,Easy commerce,Enterprise commerce,Electronic commerce,Exchange commerce,C
112,Drop shipping is,Storing all products in a warehouse,Marketing products online,Selling only digital products,Shipping products directly from supplier to customer,D
113,"What comes next in the series? 2, 6, 12, 20, …",30,28,32,36,A
114,"If all Bloops are Razzies, and all Razzies are Lazzies, are all Bloops definitely Lazzies?",Yes,No,Cannot tell,Only some,A
115,"A train travels 60 km in 1 hour, 120 km in 2 hours, and 180 km in 3 hours. What is the average speed?",60 km/h,90 km/h,100 km/h,120 km/h,A
116,Solve the equation: 5 + 3 × 2 = ?,16,11,10,13,B
117,"If today is Monday, what day will it be 45 days from now?",Sunday,Monday,Wednesday,Thursday,C
118,"In Shakespeare’s Romeo and Juliet, who kills Tybalt?",Romeo,Juliet,Mercutio,Romeo,D
119,"Fill in the blank: “To be, or not to be, that is the ___.”",Question,Answer,Choice,Decision,A
120,What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,C
121,Which war ended in 1945?,World War I,World War II,Korean War,China War,B
122,Which of the following is NOT a primary color in the RGB color system?,Red,Green,Blue,Yellow,D
123,"If 7 cats can catch 7 mice in 7 minutes, how long will 1 cat take to catch 1 mouse?",1 minute,7 minutes,49 minutes,14 minutes,B
124,"What is the missing letter: A, C, F, J, O, …",S,T,U,R ,B
125,2/3 of a number is 10. What is the number?,12,15,18,20,B
126,"In eCommerce, SEO stands for:",Search Engine Optimization,Secure Electronic Order,Shipping Efficiency Operations,Sales Engagement Online,A
127,What does NLP stand for?,Neural Language Processing,Natural Language Processing,Nonlinear Programming,Neural Logic Programming,B
128,"In AI, “tokenization” is a process used in",Image processing,Natural Language Processing,Reinforcement learning,Robotics,B
129,"If I _____ you, I would take that job offer immediately.
",were,was,am,had been,A
130,"She couldn't help _____ when she heard the funny joke.
",laughing,that she laughed,laugh,to laugh,A
131,"I would rather _____ home than go out in this terrible weather.
",stay,stayed,to stay,to have stayed,A
132,"Despite _____ hard, the company couldn't meet the tight deadline.
",they worked,working,to work,worked,B
133,"The company has to _____ a lot of money on advertising to attract new customers.
",spend,afford,cost,pay,A
134,"The harder you work, _____ you will achieve.","the most successful
",more successful,"the best success
",the more success,D
135,"The company's new policy has been met with widespread _____ from the employees.
",appraisal,"contention
",dissent,"acclaim
",D
136,"The bridge was built in 1995, _____ by a major earthquake in 2005.
","to be damaged
",damaging,damaged,"was damaged
",C
137,"The board members insisted that the project manager _____ a complete report of the budget overrun immediately.
","submits
",submit,submitted,"is submitting
",B
138,"The documents, _____ to the security breach, were immediately confiscated by the authorities.
","relating
","related
","which related
","they related
",A
139,"In AI, a “parameter” is:",A tunable element of the model,Input data,Test dataset,Evaluation metric,A
140,Tìm đáp án đúng ,14,15,16,17,D
141,Bug sẽ đi đến điểm nào,A,B,C,S,B
142,"Tại giải The ICT Friendship hàng năm, FG Football Club đã tiến sâu nhất đến vòng đấu nào?",Tứ kết,Bán kết,Chung kết,Vòng bảng,A
143,"Điền từ còn thiếu để hoàn thành Vision của FireGroup: ""To shape a world where e-commerce is.....""","easy, effective, and sustainable","fast, global, and smart","easy, effective, and reliable","easy, effective, and make impacts",A
144,FireGroup chính thức chuyển văn phòng từ Lạc Long Quân sang Flemington Tower vào năm nào?,2017,2018,2019,2020,B
145,Đâu là sự kiện diễn ra vào thời điểm 2019 tại FireGroup,Ra mắt OneMobile,Chuyển văn phòng sang Flemington Tower,Thành lập văn phòng Đà Nẵng,Không có đáp án đúng,D
146,TrueProfit sát nhập hệ sinh thái các giải pháp tại FireGroup vào năm bao nhiêu?,2018,2019,2020,2021,D
147,Sản phẩm được vinh danh Product of the Year tại YEP2024?,Zopi,OneMobile,TrueProfit,Ali Reviews,A
148,Culture Ambassador năm 2024 được vinh danh tại YEP 2024 là ai?,Nguyễn Thị Kiều Nga - Head of P&,Nguyễn Hoàng Minh - Business Director OE,Dương Bá Phúc - Technical Manager OE,Nguyễn Văn Được - Technical Leader CP,A
149,Số lượng Firer Fulltime đang làm việc tại FireGroup tính đến hiện tại là bao nhiều? Chọn số gần đúng nhất,150+,200+,250+,300+,B
150,Đâu là địa chỉ mới sau sát nhập của tòa nhà Flemington,"182 Lê Đại Hành, Phường 11","182 Lê Đại Hành, Phường Phú Thọ","182 Lê Đại Hành, Phường Tân Bình","182 Lê Đại Hành, Phường Sài Gòn",B
151,Đâu không phải tên của phòng họp tại FireGroup,A+,Global,Creative,Empathy,C
152,Bánh chưng trong mâm cỗ Tết tượng trưng cho gì?,Nước,Đất,Lửa,Gió,B
153,"Trong giải Sports Festival 2025, BU nào dành được hạng nhất tại bộ môn cầu lông?",Ops & Compass,Promer,ManySales,OneExperts,A
154,"Trong giải Sports Festival 2025, BU nào dành được hạng nhất tại bộ môn bóng đá?",Ops & Compass,Promer,ManySales,OneExperts,B
155,"Trong giải Sports Festival 2025, Firer nào dành được danh hiệu Vua Phá Lưới?",Dương Bá Phúc - OneExperts,Ngô Nhật Minh - ManySales,Dương Hoàng Tuấn - Promer,Lê Ngọc Hiếu - FireGroup Tech,B
156,"Thay vì quan tâm đến trạng thái ""done task"", chúng ta chịu trách nhiệm đến cùng với chất lượng sản phẩm - đề cập đến core value nào?  ",Ownership,Trust,Teamwork,Courage,A
157,"Một giải pháp SaaS thu phí 25 USD/tháng. Có 2.000 người đăng ký. Nếu tỷ lệ rời bỏ mỗi tháng là 5%, doanh thu duy trì sau 3 tháng là bao nhiêu? (làm tròn gần đúng)","43,000 USD","53,500 USD","50,000 USD","47,500 USD",A
158,"Promer có MRR (doanh thu định kỳ hàng tháng) là 30.000 USD, tăng trưởng 10% mỗi tháng. Sau 2 tháng, MRR là:
",33.000 USD,36.300 USD,39.930 USD,43.300 USD,B
159,"If x and y are integers such that 𝑥^2=𝑦+6 and y^2=x-6, what is the value of x+y?",-7,-1,0,7,C
160,"Xác định dữ kiện đủ cho câu hỏi: Liệu n có phải là số chẵn không?
Dữ kiện (1) n^2 là số chẵn.
Dữ kiện (2) n+1 là số lẻ.",Chỉ (1) đủ,Chỉ (2) đủ,Cả hai kết hợp mới đủ,Mỗi dữ kiện riêng đều đủ,D
161,"Một cửa hàng bán áo với giá 400.000đ mỗi cái. Nếu giảm giá 20%, sau đó tăng lại 25%, giá cuối cùng so với ban đầu như thế nào?",Tăng 5%,Giảm 5%,Giữ nguyên,Tăng 10%,A
162,"Tổng của 5 số liên tiếp là 200. Số lớn nhất trong chúng là bao nhiêu?
",38,39,40,41,D
163,"Một công ty cho rằng tăng giá sản phẩm sẽ giúp tăng lợi nhuận. Tuy nhiên, sau khi tăng giá, doanh thu lại giảm.
Điều nào sau đây giải thích hợp lý nhất?",Khách hàng chuyển sang sản phẩm rẻ hơn.,Chi phí sản xuất tăng,Quảng cáo giảm,Lợi nhuận mỗi sản phẩm tăng,A
164,"Một công ty bán 200 sản phẩm với giá 50 USD mỗi sản phẩm. Nếu họ giảm giá 10% và bán thêm 25 sản phẩm, tổng doanh thu thay đổi như thế nào?",Giảm 5%,Giữ nguyên,Tăng 5%,Tăng 10%,C
165,"Nếu a và b là số nguyên dương, và a chia hết cho b, thì phát biểu nào đúng?",a<b,a=b,a=kb với k là số nguyên dương,b=ka,C
166,"Nếu x là số lẻ, thì giá trị của x^2 - 1 là",Số chẵn chia hết cho 4,Số lẻ,Số nguyên tố,Không xác định,A
167,Một hình chữ nhật có chiều dài gấp đôi chiều rộng. Chu vi là 48 cm. Diện tích là bao nhiêu?,144 cm²,96 cm²,128 cm²,192 cm²,B
168,"Giá trị trung bình của 5 số là 10. Nếu thêm số 25 vào nhóm, giá trị trung bình mới là bao nhiêu?
",12.5,13.5,15,11,A
169,"Tích của hai số là 60, hiệu của chúng là 4. Hai số đó là:",6 và 10,5 và 12,4 và 15,8 và 7.5,A
